overlap_analyzed,scientific_name,TP,FP,FN,precision,sensitivity,f1_score,accuracy,total_detections,total_manual,false_positive_rate,false_negative_rate
0,tringa nebularia,3,24,0,0.1111111111111111,1,0.19999999999999998,0.1111111111111111,27,3,0.8888888888888888,0
0,troglodytes troglodytes,19,88,6,0.17757009345794392,0.76,0.2878787878787879,0.168141592920354,107,25,0.822429906542056,0.24
0,turdus merula,108,439,337,0.19744058500914077,0.24269662921348314,0.21774193548387097,0.12217194570135746,547,445,0.8025594149908593,0.7573033707865169
0,turdus philomelos,10,69,4,0.12658227848101267,0.7142857142857143,0.21505376344086025,0.12048192771084337,79,14,0.8734177215189873,0.2857142857142857
0,turdus viscivorus,21,141,20,0.12962962962962962,0.5121951219512195,0.20689655172413793,0.11538461538461539,162,41,0.8703703703703703,0.4878048780487805
0,zapornia pusilla,1,592,0,0.0016863406408094434,1,0.003367003367003367,0.0016863406408094434,593,1,0.9983136593591906,0
0.5,accipiter gentilis,1,23,0,0.041666666666666664,1,0.07999999999999999,0.041666666666666664,24,1,0.9583333333333334,0
0.5,acrocephalus arundinaceus,87,388,123,0.1831578947368421,0.4142857142857143,0.254014598540146,0.1454849498327759,475,210,0.8168421052631579,0.5857142857142857
0.5,acrocephalus palustris,4,36,9,0.1,0.3076923076923077,0.15094339622641512,0.08163265306122448,40,13,0.9,0.6923076923076923
0.5,acrocephalus schoenobaenus,136,1733,16,0.07276618512573568,0.8947368421052632,0.13458683819891143,0.07214854111405836,1869,152,0.9272338148742643,0.10526315789473684
0.5,acrocephalus scirpaceus,272,1150,43,0.19127988748241911,0.8634920634920635,0.31318364997121473,0.18566552901023892,1422,315,0.8087201125175809,0.1365079365079365
0.5,aegithalos caudatus,7,13,11,0.35,0.3888888888888889,0.36842105263157887,0.22580645161290322,20,18,0.65,0.6111111111111112
0.5,alauda arvensis,19,299,2,0.059748427672955975,0.9047619047619048,0.11209439528023599,0.059375,318,21,0.940251572327044,0.09523809523809523
0.5,anas platyrhynchos,107,364,21,0.22717622080679406,0.8359375,0.3572621035058431,0.21747967479674796,471,128,0.772823779193206,0.1640625
0.5,anser serrirostris,3,1,0,0.75,1,0.8571428571428571,0.75,4,3,0.25,0
0.5,anthus trivialis,0,118,1,0,0,NA,0,118,1,1,1
0.5,ardea cinerea,4,45,4,0.08163265306122448,0.5,0.14035087719298245,0.07547169811320754,49,8,0.9183673469387755,0.5
0.5,botaurus stellaris,5,156,0,0.031055900621118012,1,0.060240963855421686,0.031055900621118012,161,5,0.968944099378882,0
0.5,buteo buteo,11,12,3,0.4782608695652174,0.7857142857142857,0.5945945945945946,0.4230769230769231,23,14,0.5217391304347826,0.21428571428571427
0.5,caprimulgus europaeus,8,108,0,0.06896551724137931,1,0.12903225806451613,0.06896551724137931,116,8,0.9310344827586207,0
0.5,carduelis carduelis,2,17,0,0.10526315789473684,1,0.1904761904761905,0.10526315789473684,19,2,0.8947368421052632,0
0.5,carpodacus erythrinus,54,1181,14,0.0437246963562753,0.7941176470588235,0.08288564850345356,0.04323458767013611,1235,68,0.9562753036437247,0.20588235294117646
0.5,certhia familiaris,46,147,26,0.23834196891191708,0.6388888888888888,0.34716981132075475,0.2100456621004566,193,72,0.7616580310880829,0.3611111111111111
0.5,chroicocephalus ridibundus,3,87,3,0.03333333333333333,0.5,0.0625,0.03225806451612903,90,6,0.9666666666666667,0.5
0.5,corvus corax,8,6,15,0.5714285714285714,0.34782608695652173,0.4324324324324324,0.27586206896551724,14,23,0.42857142857142855,0.6521739130434783
0.5,corvus cornix,26,119,134,0.1793103448275862,0.1625,0.17049180327868851,0.0931899641577061,145,160,0.8206896551724138,0.8375
0.5,corvus frugilegus,15,55,27,0.21428571428571427,0.35714285714285715,0.2678571428571429,0.15463917525773196,70,42,0.7857142857142857,0.6428571428571429
0.5,curruca communis,2,52,0,0.037037037037037035,1,0.07142857142857142,0.037037037037037035,54,2,0.9629629629629629,0
0.5,cyanistes caeruleus,70,237,86,0.2280130293159609,0.44871794871794873,0.30237580993520513,0.178117048346056,307,156,0.7719869706840391,0.5512820512820513
0.5,cygnus cygnus,1,18,0,0.05263157894736842,1,0.1,0.05263157894736842,19,1,0.9473684210526315,0
0.5,dendrocopos major,4,38,3,0.09523809523809523,0.5714285714285714,0.16326530612244897,0.08888888888888889,42,7,0.9047619047619048,0.42857142857142855
0.5,dryobates minor,4,3629,11,0.0011010184420589045,0.26666666666666666,0.002192982456140351,0.0010976948408342481,3633,15,0.9988989815579411,0.7333333333333333
0.5,dryocopus martius,5,126,5,0.03816793893129771,0.5,0.07092198581560284,0.03676470588235294,131,10,0.9618320610687023,0.5
0.5,emberiza citrinella,13,111,28,0.10483870967741936,0.3170731707317073,0.15757575757575756,0.08552631578947369,124,41,0.8951612903225806,0.6829268292682927
0.5,emberiza schoeniclus,890,5003,552,0.15102664177838113,0.6171983356449375,0.24267211997273347,0.13809154383242825,5893,1442,0.8489733582216189,0.3828016643550624
0.5,erithacus rubecula,20,103,8,0.16260162601626016,0.7142857142857143,0.26490066225165565,0.15267175572519084,123,28,0.8373983739837398,0.2857142857142857
0.5,fringilla coelebs,26,166,289,0.13541666666666666,0.08253968253968254,0.10256410256410256,0.05405405405405406,192,315,0.8645833333333334,0.9174603174603174
0.5,fulica atra,93,235,98,0.28353658536585363,0.4869109947643979,0.3583815028901734,0.21830985915492956,328,191,0.7164634146341463,0.5130890052356021
0.5,galerida cristata,0,18,2,0,0,NA,0,18,2,1,1
0.5,grus grus,19,75,23,0.20212765957446807,0.4523809523809524,0.27941176470588236,0.1623931623931624,94,42,0.7978723404255319,0.5476190476190477
0.5,hippolais icterina,5,34,1,0.1282051282051282,0.8333333333333334,0.2222222222222222,0.125,39,6,0.8717948717948718,0.16666666666666666
0.5,hirundo rustica,5,41,7,0.10869565217391304,0.4166666666666667,0.1724137931034483,0.09433962264150944,46,12,0.8913043478260869,0.5833333333333334
0.5,larus argentatus,8,99,30,0.07476635514018691,0.21052631578947367,0.1103448275862069,0.058394160583941604,107,38,0.9252336448598131,0.7894736842105263
0.5,locustella luscinioides,59,997,14,0.05587121212121212,0.8082191780821918,0.10451727192205491,0.05514018691588785,1056,73,0.9441287878787878,0.1917808219178082
0.5,luscinia luscinia,27,354,1,0.07086614173228346,0.9642857142857143,0.13202933985330073,0.07068062827225131,381,28,0.9291338582677166,0.03571428571428571
0.5,mareca strepera,8,101,1,0.07339449541284404,0.8888888888888888,0.13559322033898308,0.07272727272727272,109,9,0.926605504587156,0.1111111111111111
0.5,muscicapa striata,1,25,6,0.038461538461538464,0.14285714285714285,0.060606060606060615,0.03125,26,7,0.9615384615384616,0.8571428571428571
0.5,numenius arquata,0,46,1,0,0,NA,0,46,1,1,1
0.5,parus major,107,220,128,0.327217125382263,0.4553191489361702,0.3807829181494662,0.23516483516483516,327,235,0.672782874617737,0.5446808510638298
0.5,passer montanus,1,5,0,0.16666666666666666,1,0.2857142857142857,0.16666666666666666,6,1,0.8333333333333334,0
0.5,periparus ater,5,87,2,0.05434782608695652,0.7142857142857143,0.101010101010101,0.05319148936170213,92,7,0.9456521739130435,0.2857142857142857
0.5,phoenicurus phoenicurus,1,46,0,0.02127659574468085,1,0.04166666666666667,0.02127659574468085,47,1,0.9787234042553191,0
